TRANSACTION DETAILS,Category
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
Indiaforensic SERVICES INDIA PVT,Business Services
TRF TO  Indiaforensic SERVICES I,Business Services
Indiaforensic  RUPAY SETT 250918,Other
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
MAW/502964XXXXXX9119/Karu,Other
IMPS IW 21082016 1C,Other
Indiaforensic NFS SETT 16-12-201,Other
CASHDEP/NEW-DELHI/,Cash Deposits
NEFT/N039180471421271/PAY,Other
CASHDEP/KALYAN-W/,Cash Deposits
MASTER POSDOM ACQ SETTL14,Other
INDIAIDEAS.COM LTD,Payment Gateways
CHQ DEP/743/OWDEL1/HDFC/S,Other
NEFT/FDRL386707359/Indiaforensic,Other
P2P NEFT SETTLEMENT  INTE,Other
CASHDEP/VIKASMARG/TP,Cash Deposits
IMPS 808819090709 FROM OX,Other
RTGS/SBINH16165931792/Indfor,Other
RTGS/SBINH16139950145/Indfor,Other
Indiaforensic RUPAY POS ACQ06011,Other
BBPS DT 06062018,Other
CASHDEP/GURGAON/,Cash Deposits
BIGTREE ENTERTAINMENT PRI,Entertainment
NEFT CHARGES AND GST/0000,Other
Indiaforensic NFS SETT 04-10-201,Other
Indiaforensic NFS SETT 17-01-201,Other
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
IMPS 1010171C,Other
RTGS/CIUBH16247927533/Indfor,Other
RTGS/CITIH17005703561/PAY,Other
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
NEFT/FDRL1006187141/ARTHAS,Other
Indiaforensic NFS SETT 17-11-201,Other
Indfor INCOME INDO REMI09011,Other
DSB CASH PICKP Indiaforensic MET,Cash Deposits
CR727918307876/RMCPL11253/0,Other
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
AEPS INC DT 01-04-2019 RO,Other
RTGS/HDFCH16224091708/Indfor,Other
Indiaforensic RUPAY STL INTC2208,Other
RTGS/SBINH15272491025/Indfor,Other
TRF FROM  Indiaforensic SERVICES,Business Services
Indiaforensic RUP SETT 270119,Other
Indfor INCOME INDO REMI13011,Other
IMPS O/W  RTN 280116 1C,Other
NEFT/ALLAH16342461607/M/s,Other
ICA 17825 Indiaforensic MC DOM 2,Other
FDRL/REAL TIME GROSS SETTL,Bank Transfers
RTGS/BARBH17067953175/MAK,Other
NAAPTOL ONLINE SHOPING PV,Other
CASHDEP/SILVASSA/,Cash Deposits
RTGS/SBINH16341027403/Indfor,Other
CASHDEP/HAUS KHAS/CASH DE,Cash Deposits
TRF TO  Indiaforensic SERVICES I,Business Services
KRISHI KALYAN CESS,Other
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
IRTT00701701381,Other
NEFT/KKBK162254867241/Acc,Other
RAI ASSOCIATES,Other
Sweep Trf To: 40900036427,Bank Transfers
Indiaforensic NFS SETT 13-10-201,Other
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
IMPS 805420511116 FROM OX,Other
NEFT/CITIN17731118679/PAY,Other
Indiaforensic SERVICES INDIA PVT,Business Services
Indiaforensic NFS SETT 11-07-201,Other
RTGS/CIUBH16183699736/Indfor,Other
CR/703211427974/RMCPL09222/,Other
INDO GIBL Indiaforensic STL22031,Other
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
CASHDEP/DOMBIVLI-W/,Cash Deposits
NEFT/N032180465191682/PAY,Other
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
TFR TO 409000362497  IndforG,Other
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
RUPAY POS ACQ SETTL 14111,Other
CASHDEP/BOISAR/,Cash Deposits
CASHDEP/SILVASSA/,Cash Deposits
IMPS 827723339885 FROM OX,Other
RTGS/ICICH16079710767/Indfor,Other
IMPS OW 30112016 4C,Other
CASHDEP/VIKASMARG/TP,Cash Deposits
AEPS Indiaforensic GST 010917,Other
CASHDEP/GURGAON/,Cash Deposits
CASHDEP/RAJOURI/,Cash Deposits
RTGS/SBTRH16239072934/Indfor,Other
Indiaforensic NFS SETT 13-07-201,Other
CR834212903897/RMCPL27291/0,Other
NEFT/AXISF15286089981/Indfor,Other
CASHDEP/DAMAN/,Cash Deposits
Indiaforensic NFS SETT 07-10-201,Other
BEAT CASH PICKP DELH 1206,Other
BEAT CASH PICKP DELH 1206,Other
IRCTC CORPORATE OFFICE AC,Travel
NEFT/AXISF15205003504/Indfor,Other
INDO GIBL Indiaforensic STL17071,Other
BSES RAJDHANI POWER LIMIT,Utilities
Indiaforensic NFS SETT 11-01-201,Other
LOCALCUBE COMMERCE PRIVAT,Business Services
DSB MUTILTD CSH 22122015,Other
NEFT/KKBK173283038610/Acc,Other
IRTT00701600906,Other
FUND TRF TO  Indiaforensic SERVI,Other
CASHDEP/BHI-RIICO/,Cash Deposits
SERVICE TAX,Other
Sweep Trf To: 40900036427,Bank Transfers
FDRL/REAL TIME GROSS SETTL,Bank Transfers
MAW/502964XXXXXX8138/Karu,Other
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
NOMISMA MOBILE SOLUTIONS,Finance
BEAT CASH PICKP DELH 2911,Other
INTERNAL FUND TRANSFER IN,Bank Transfers
IMPS 824618970792 FROM OX,Other
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
RTGS/SBINH16201337625/Indfor,Other
IMPS 190520181C,Other
CASHDEP/HAUS KHAS/KAMAL,Cash Deposits
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
CHQ DEP/188412/OWDEL1/SBI,Other
SONU  NF494,Other
SWACHH BHARAT CESS,Other
Indiaforensic AEPS NPCI WDL SET,Other
CASHDEP/VIKASMARG/TP,Cash Deposits
IMPS 220118 2C,Other
IRCTC CORPORATE OFFICE AC,Travel
SYNERGISTIC FINANCIAL NET,Other
AEPS Indiaforensic INCOME 250816,Other
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
CASHDEP/NOIDA/TP,Cash Deposits
TRF TO  Indiaforensic SERVICES I,Business Services
NEFT/SBIN915240916419/Indfor,Other
CASHDEP/PANIPAT/0146,Cash Deposits
TRANGLO SDN BHD/USD/69980,Other
BEAT CASH PICKP 12062725,Other
NEFT/KKBK173526278727/Acc,Other
BILLPAY TATA POWER (TATA,Other
CHQ DEP/474131/OWDEL1/UTB,Other
CASHDEP/PANIPAT/0146,Cash Deposits
RTGS/SBINH15286033962/Indfor,Other
CASHDEP/RAJOURI/,Cash Deposits
